ID,start,end,code,team,action,half,pos_x,pos_y
3049,3792.76,3812.76,7. Noname Noname,Sound FC 06,Challenges (won),2nd half,41.1,3.9
3050,3792.76,3812.76,7. Noname Noname,Sound FC 06,Air challenges (won),2nd half,41.1,3.9
3051,3792.76,3812.76,7. Noname Noname,Sound FC 06,Passes (inaccurate),2nd half,41.1,3.9
3052,3792.76,3812.76,7. Noname Noname,Sound FC 06,Lost balls,2nd half,40.0,2.3
3053,3792.76,3812.76,7. Noname Noname,Sound FC 06,Lost balls (in opp. half),2nd half,40.0,2.3
3054,3792.76,3812.76,47. Tate Macdonald,Seattle United 06 Tango,Air challenges (lost),2nd half,63.9,64.1
3055,3793.08,3813.08,47. Tate Macdonald,Seattle United 06 Tango,Interceptions,2nd half,65.0,65.7
3056,3793.08,3813.08,47. Tate Macdonald,Seattle United 06 Tango,Interceptions (in opp. half),2nd half,65.0,65.7
3057,3794.24,3814.24,8. Noname A19,Sound FC 06,Challenges (lost),2nd half,38.9,7.7
3058,3794.24,3814.24,48. Nalyn Dungel,Seattle United 06 Tango,Challenges (won),2nd half,66.1,60.3
3059,3794.24,3814.24,48. Nalyn Dungel,Seattle United 06 Tango,Air challenges (won),2nd half,66.1,60.3
3060,3794.24,3814.24,48. Nalyn Dungel,Seattle United 06 Tango,Counter-attacks,2nd half,66.1,60.3
3061,3794.24,3814.24,48. Nalyn Dungel,Seattle United 06 Tango,Counter-attacks,2nd half,66.1,60.3
3062,3794.24,3814.24,48. Nalyn Dungel,Seattle United 06 Tango,Passes accurate,2nd half,66.1,60.3
3063,3794.24,3814.24,8. Noname A19,Sound FC 06,Air challenges (lost),2nd half,38.9,7.7
3064,3795.84,3815.84,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),2nd half,59.1,58.6
3065,3795.84,3815.84,8. Noname A19,Sound FC 06,Counter-attacks,2nd half,45.9,9.4
3066,3795.84,3815.84,8. Noname A19,Sound FC 06,Challenges (won),2nd half,45.9,9.4
3067,3797.81,3817.81,54. Elliot Falor,Seattle United 06 Tango,Passes accurate,2nd half,44.9,49.1
3068,3797.81,3817.81,54. Elliot Falor,Seattle United 06 Tango,Counter-attacks,2nd half,44.9,49.1
3069,3797.81,3817.81,54. Elliot Falor,Seattle United 06 Tango,Counter-attacks,2nd half,44.9,49.1
3070,3797.81,3817.81,54. Elliot Falor,Seattle United 06 Tango,Picking-ups,2nd half,44.9,49.1
3071,3799.54,3819.54,29. Jackson Peterson,Seattle United 06 Tango,Counter-attacks,2nd half,71.3,50.2
3072,3799.54,3819.54,29. Jackson Peterson,Seattle United 06 Tango,Lost balls,2nd half,78.5,51.4
3073,3799.54,3819.54,29. Jackson Peterson,Seattle United 06 Tango,Passes (inaccurate),2nd half,71.3,50.2
3074,3800.07,3820.07,5. Noname Noname,Sound FC 06,Counter-attacks,2nd half,26.5,16.6
3075,3800.07,3820.07,5. Noname Noname,Sound FC 06,Interceptions,2nd half,26.5,16.6
3076,3828.88,3848.88,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,2nd half,90.2,68.0
3077,3828.88,3848.88,47. Tate Macdonald,Seattle United 06 Tango,Passes into the penalty box,2nd half,90.2,68.0
3078,3828.88,3848.88,47. Tate Macdonald,Seattle United 06 Tango,Throw-in attacks,2nd half,90.2,68.0
3079,3830.98,3850.98,21. Gian Lucca Weintraub,Seattle United 06 Tango,Throw-in attacks,2nd half,89.0,43.1
3080,3830.98,3850.98,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes (inaccurate),2nd half,89.0,43.1
3081,3832.96,3852.96,14. Noname Noname,Sound FC 06,Passes accurate,2nd half,18.7,33.2
3082,3832.96,3852.96,14. Noname Noname,Sound FC 06,Throw-in attacks,2nd half,18.7,33.2
3083,3832.96,3852.96,14. Noname Noname,Sound FC 06,Throw-in attacks,2nd half,18.7,33.2
3084,3832.96,3852.96,14. Noname Noname,Sound FC 06,Interceptions,2nd half,18.7,33.2
3085,3835.74,3855.74,40. Mateo Garces,Seattle United 06 Tango,Passes accurate,2nd half,69.3,47.4
3086,3835.74,3855.74,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,2nd half,69.3,47.4
3087,3835.74,3855.74,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,2nd half,69.3,47.4
3088,3835.74,3855.74,40. Mateo Garces,Seattle United 06 Tango,Challenges (won),2nd half,69.3,47.4
3089,3835.74,3855.74,8. Noname A19,Sound FC 06,Challenges (lost),2nd half,35.7,20.6
3090,3837.62,3857.62,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,2nd half,65.0,51.7
3091,3837.62,3857.62,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,2nd half,65.0,51.7
3092,3839.81,3859.81,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,2nd half,58.8,40.7
3093,3839.81,3859.81,54. Elliot Falor,Seattle United 06 Tango,Passes accurate,2nd half,58.8,40.7
3094,3843.62,3863.62,21. Gian Lucca Weintraub,Seattle United 06 Tango,Positional attacks,2nd half,69.4,15.6
3095,3843.62,3863.62,14. Noname Noname,Sound FC 06,Challenges (lost),2nd half,35.6,52.4
3096,3843.62,3863.62,21. Gian Lucca Weintraub,Seattle United 06 Tango,Dribbles (Successful actions),2nd half,69.4,15.6
3097,3843.62,3863.62,14. Noname Noname,Sound FC 06,Tackles (Unsuccessful actions),2nd half,35.6,52.4
3098,3846.97,3866.97,14. Noname Noname,Sound FC 06,Fouls,2nd half,36.4,41.2
3099,3846.97,3866.97,14. Noname Noname,Sound FC 06,Positional attacks,2nd half,36.4,41.2
3100,3873.07,3893.07,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes accurate,2nd half,71.1,26.1
3101,3873.07,3893.07,21. Gian Lucca Weintraub,Seattle United 06 Tango,Free-kick attacks,2nd half,71.1,26.1
3102,3873.07,3893.07,21. Gian Lucca Weintraub,Seattle United 06 Tango,Key passes (accurate),2nd half,71.1,26.1
